x,count1,count2,count3,count4,count5
0,36,32,33,47,33
0.2,47,46,52,42,38
0.4,49,51,44,46,38
0.6,39,43,49,46,50
0.8,71,55,57,61,58
1,64,66,71,82,80
1.2,84,84,99,102,101
1.4,103,102,93,83,93
1.6,94,105,81,121,129
1.8,136,121,127,141,142
2,174,162,177,170,166
2.2,154,168,160,154,150
2.4,124,127,137,122,125
2.6,135,127,122,129,109
2.8,159,150,162,166,162
3,238,212,218,228,226
3.2,238,259,227,236,265
3.4,257,226,244,255,232
3.6,228,253,216,237,238
3.8,174,161,145,152,154
4,217,200,207,226,205
4.2,308,313,209,291,302
4.4,360,384,391,388,372
4.6,400,400,359,386,390
4.8,293,312,298,293,245
5,191,197,180,167,206
5.2,222,213,244,216,236
5.4,341,348,346,327,360
5.6,476,453,441,412,424
5.8,425,432,403,424,449
6,310,265,273,298,312
6.2,159,172,169,173,189
6.4,187,196,210,166,165
6.6,258,276,247,273,300
6.8,452,422,421,405,423
7,363,375,398,371,406
7.2,318,285,296,262,288
7.4,147,145,151,155,181
7.6,129,111,147,145,126
7.8,262,284,284,298,295
